segment_id	start_token	end_token	start_line	end_line	score
0	2	34	0	1	0.7909090909090909
1	24	54	1	3	0.8503937007874016
2	46	76	2	3	0.35687732342007433
3	-1	-1	-1	-1	0.0
4	62	98	3	8	0.4365256124721604
5	83	113	6	10	0.5296442687747036
6	98	128	8	11	0.49110320284697506
7	110	163	9	17	0.754653130287648
8	-1	-1	-1	-1	0.0
9	-1	-1	-1	-1	0.0
10	179	408	19	42	0.6146202980837473
11	326	386	36	41	0.8161559888579387
12	369	422	40	42	0.8153409090909091
13	409	439	42	43	0.32752613240418116
14	435	473	43	45	0.04772234273318872
15	466	515	45	51	0.288107202680067
16	-1	-1	-1	-1	0.0
17	487	517	48	52	0.5295950155763239
18	502	532	50	52	0.3771043771043771
19	-1	-1	-1	-1	0.0
20	520	550	52	57	0.35294117647058826
21	530	566	52	60	0.719047619047619
22	579	629	60	65	0.21263482280431434
23	-1	-1	-1	-1	0.0
24	614	702	64	75	0.13077593722755013
25	657	687	72	75	0.32950191570881227
26	-1	-1	-1	-1	0.0
27	672	702	73	75	0.3054545454545455
28	720	800	79	87	0.03389830508474576
29	-1	-1	-1	-1	0.0
30	769	807	84	88	0.13488372093023257
31	-1	-1	-1	-1	0.0
32	806	871	88	93	0.06675567423230974
33	-1	-1	-1	-1	0.0
34	845	879	91	94	0.5300546448087432
35	861	903	92	97	0.7894736842105263
36	894	939	97	99	0.5274725274725275
37	940	994	100	106	0.5409582689335394
38	981	1013	105	107	0.8442211055276382
39	-1	-1	-1	-1	0.0
40	1007	1082	107	113	0.8500563697857948
41	-1	-1	-1	-1	0.0
42	-1	-1	-1	-1	0.0
43	1072	1102	113	115	0.26959247648902823
44	1090	1123	114	119	0.14797136038186157
45	1110	1156	117	123	0.7005253940455342
46	1145	1208	122	128	0.5939553219448095
47	1193	1223	127	130	0.616
48	-1	-1	-1	-1	0.0
49	-1	-1	-1	-1	0.0
50	1209	1239	128	133	0.24390243902439024
51	1219	1249	130	133	0.32
52	1260	1348	136	148	0.34980237154150196
53	-1	-1	-1	-1	0.0
54	1299	1329	142	144	0.024615384615384615
55	-1	-1	-1	-1	0.0
56	1315	1347	144	147	0.6108374384236454
57	1358	1388	149	152	0.8123076923076923
58	-1	-1	-1	-1	0.0
59	1380	1410	152	155	0.5016501650165016
60	1391	1421	153	157	0.49146757679180886
61	1401	1431	154	157	0.7444444444444445
62	1421	1453	157	157	0.8387096774193549
63	1444	1501	157	161	0.6647230320699709
64	1484	1518	159	162	0.7582417582417582
65	1510	1540	162	164	0.33992094861660077
66	-1	-1	-1	-1	0.0
67	-1	-1	-1	-1	0.0
68	1523	1603	162	170	0.8455114822546973
69	1597	1638	170	171	0.08016877637130802
70	1622	1652	171	173	0.4835164835164835
71	1662	1830	173	190	0.049891540130151846
72	-1	-1	-1	-1	0.0
73	-1	-1	-1	-1	0.0
74	-1	-1	-1	-1	0.0
75	1770	1800	183	187	0.36363636363636365
76	-1	-1	-1	-1	0.0
77	1780	1820	184	188	0.7455357142857143
78	1817	1849	188	192	0.047244094488188976
79	-1	-1	-1	-1	0.0
80	1834	1925	191	205	0.7651515151515151
81	1972	2044	212	215	0.18791946308724833
82	-1	-1	-1	-1	0.0
83	2004	2034	214	215	0.7613293051359517
84	2032	2062	215	215	0.1037463976945245
85	2044	2074	215	215	0.5283018867924528
86	-1	-1	-1	-1	0.0
87	-1	-1	-1	-1	0.0
88	2073	2103	215	217	0.7727272727272727
89	-1	-1	-1	-1	0.0
90	2117	2155	219	221	0.1115702479338843
91	2135	2204	220	223	0.4024691358024691
92	7758	7788	632	633	0.3157894736842105
93	7769	7802	633	636	0.8813559322033898
94	-1	-1	-1	-1	0.0
95	7800	7849	636	640	0.8187919463087249
96	7841	7871	639	641	0.3986013986013986
97	7851	7881	640	642	0.624113475177305
98	7865	7895	641	642	0.453781512605042
99	-1	-1	-1	-1	0.0
100	7879	7909	642	643	0.6879432624113475
101	-1	-1	-1	-1	0.0
102	7901	7969	642	652	0.7023319615912208
103	-1	-1	-1	-1	0.0
104	7983	8013	653	655	0.012861736334405145
105	-1	-1	-1	-1	0.0
106	7993	8023	654	656	0.38162544169611307
107	-1	-1	-1	-1	0.0
108	8004	8034	654	656	0.4591439688715953
109	8019	8049	656	657	0.46048109965635736
110	8032	8076	656	659	0.511727078891258
111	8084	8114	660	662	0.8061538461538461
112	8110	8147	662	664	0.04186046511627907
113	-1	-1	-1	-1	0.0
114	8145	8189	664	668	0.4321223709369025
115	8186	8223	668	671	0.7631578947368421
116	-1	-1	-1	-1	0.0
117	8215	8245	671	671	0.49122807017543857
118	-1	-1	-1	-1	0.0
119	-1	-1	-1	-1	0.0
120	-1	-1	-1	-1	0.0
121	8243	8293	671	676	0.7743119266055046
122	-1	-1	-1	-1	0.0
123	8305	8335	677	678	0.4794952681388013
124	8315	8345	677	679	0.4375
125	8325	8355	678	679	0.6158940397350994
126	9300	9330	752	754	0.28820960698689957
127	9311	9341	752	755	0.23868312757201646
128	9322	9352	753	756	0.26811594202898553
129	-1	-1	-1	-1	0.0
130	9350	9383	756	758	0.28895184135977336
131	9368	9425	758	759	0.4699140401146132
132	-1	-1	-1	-1	0.0
133	-1	-1	-1	-1	0.0
134	9418	9448	758	761	0.5128205128205128
135	9434	9464	760	763	0.44285714285714284
136	9446	9502	761	770	0.5748299319727891
137	9493	9523	769	776	0.6590038314176245
138	9521	9559	776	780	0.5429864253393665
139	-1	-1	-1	-1	0.0
140	9543	9573	778	781	0.8025889967637541
141	9579	9609	782	783	0.46710526315789475
142	9591	9621	782	784	0.358974358974359
143	-1	-1	-1	-1	0.0
144	-1	-1	-1	-1	0.0
145	-1	-1	-1	-1	0.0
146	9614	9644	783	785	0.26618705035971224
147	-1	-1	-1	-1	0.0
148	-1	-1	-1	-1	0.0
149	-1	-1	-1	-1	0.0
150	-1	-1	-1	-1	0.0
151	-1	-1	-1	-1	0.0
152	-1	-1	-1	-1	0.0
153	-1	-1	-1	-1	0.0
154	9640	9670	785	787	0.06606606606606606
155	-1	-1	-1	-1	0.0
156	-1	-1	-1	-1	0.0
157	9663	9703	787	793	0.07218683651804671
158	-1	-1	-1	-1	0.0
159	-1	-1	-1	-1	0.0
160	9686	9716	790	794	0.4959349593495935
161	-1	-1	-1	-1	0.0
162	9723	9780	794	798	0.7008547008547008
163	9757	9787	796	798	0.6434108527131783
164	9786	9832	798	802	0.2874251497005988
165	-1	-1	-1	-1	0.0
166	9814	9844	799	802	0.29107981220657275
167	97010	97046	7591	7595	0.27906976744186046
168	-1	-1	-1	-1	0.0
169	-1	-1	-1	-1	0.0
170	-1	-1	-1	-1	0.0
171	-1	-1	-1	-1	0.0
172	-1	-1	-1	-1	0.0
173	-1	-1	-1	-1	0.0
174	-1	-1	-1	-1	0.0
175	-1	-1	-1	-1	0.0
176	-1	-1	-1	-1	0.0
177	-1	-1	-1	-1	0.0
178	-1	-1	-1	-1	0.0
179	-1	-1	-1	-1	0.0
180	-1	-1	-1	-1	0.0
181	-1	-1	-1	-1	0.0
182	-1	-1	-1	-1	0.0
183	-1	-1	-1	-1	0.0
184	-1	-1	-1	-1	0.0
185	-1	-1	-1	-1	0.0
186	-1	-1	-1	-1	0.0
187	-1	-1	-1	-1	0.0
188	-1	-1	-1	-1	0.0
189	-1	-1	-1	-1	0.0
190	-1	-1	-1	-1	0.0
191	-1	-1	-1	-1	0.0
192	-1	-1	-1	-1	0.0
193	-1	-1	-1	-1	0.0
194	-1	-1	-1	-1	0.0
195	-1	-1	-1	-1	0.0
196	-1	-1	-1	-1	0.0
197	-1	-1	-1	-1	0.0
198	-1	-1	-1	-1	0.0
199	-1	-1	-1	-1	0.0
200	-1	-1	-1	-1	0.0
201	-1	-1	-1	-1	0.0
202	-1	-1	-1	-1	0.0
203	-1	-1	-1	-1	0.0
204	-1	-1	-1	-1	0.0
205	-1	-1	-1	-1	0.0
206	-1	-1	-1	-1	0.0
207	-1	-1	-1	-1	0.0
208	-1	-1	-1	-1	0.0
209	100399	100486	7841	7852	0.03451776649746193
210	-1	-1	-1	-1	0.0
211	-1	-1	-1	-1	0.0
212	-1	-1	-1	-1	0.0
213	-1	-1	-1	-1	0.0
214	-1	-1	-1	-1	0.0
215	-1	-1	-1	-1	0.0
216	-1	-1	-1	-1	0.0
217	-1	-1	-1	-1	0.0
218	-1	-1	-1	-1	0.0
219	-1	-1	-1	-1	0.0
220	-1	-1	-1	-1	0.0
221	-1	-1	-1	-1	0.0
222	-1	-1	-1	-1	0.0
223	-1	-1	-1	-1	0.0
224	-1	-1	-1	-1	0.0
225	-1	-1	-1	-1	0.0
226	-1	-1	-1	-1	0.0
227	-1	-1	-1	-1	0.0
228	-1	-1	-1	-1	0.0
229	-1	-1	-1	-1	0.0
230	-1	-1	-1	-1	0.0
231	-1	-1	-1	-1	0.0
232	-1	-1	-1	-1	0.0
233	-1	-1	-1	-1	0.0
234	-1	-1	-1	-1	0.0
235	-1	-1	-1	-1	0.0
236	-1	-1	-1	-1	0.0
237	-1	-1	-1	-1	0.0
238	-1	-1	-1	-1	0.0
239	-1	-1	-1	-1	0.0
240	-1	-1	-1	-1	0.0
241	-1	-1	-1	-1	0.0
242	-1	-1	-1	-1	0.0
243	-1	-1	-1	-1	0.0
244	-1	-1	-1	-1	0.0
245	-1	-1	-1	-1	0.0
246	-1	-1	-1	-1	0.0
247	-1	-1	-1	-1	0.0
248	-1	-1	-1	-1	0.0
249	-1	-1	-1	-1	0.0
250	-1	-1	-1	-1	0.0
251	-1	-1	-1	-1	0.0
252	-1	-1	-1	-1	0.0
253	-1	-1	-1	-1	0.0
254	-1	-1	-1	-1	0.0
255	-1	-1	-1	-1	0.0
256	-1	-1	-1	-1	0.0
257	-1	-1	-1	-1	0.0
258	-1	-1	-1	-1	0.0
259	-1	-1	-1	-1	0.0
260	-1	-1	-1	-1	0.0
261	-1	-1	-1	-1	0.0
262	-1	-1	-1	-1	0.0
263	-1	-1	-1	-1	0.0
264	-1	-1	-1	-1	0.0
265	-1	-1	-1	-1	0.0
266	105593	105623	8246	8249	0.26666666666666666
267	-1	-1	-1	-1	0.0
268	-1	-1	-1	-1	0.0
269	-1	-1	-1	-1	0.0
270	-1	-1	-1	-1	0.0
271	-1	-1	-1	-1	0.0
272	-1	-1	-1	-1	0.0
273	-1	-1	-1	-1	0.0
274	-1	-1	-1	-1	0.0
275	-1	-1	-1	-1	0.0
276	-1	-1	-1	-1	0.0
277	-1	-1	-1	-1	0.0
278	-1	-1	-1	-1	0.0
279	110332	110362	8613	8616	0.36789297658862874
280	-1	-1	-1	-1	0.0
281	-1	-1	-1	-1	0.0
282	-1	-1	-1	-1	0.0
283	-1	-1	-1	-1	0.0
284	-1	-1	-1	-1	0.0
285	-1	-1	-1	-1	0.0
286	-1	-1	-1	-1	0.0
287	-1	-1	-1	-1	0.0
288	-1	-1	-1	-1	0.0
289	-1	-1	-1	-1	0.0
290	-1	-1	-1	-1	0.0
291	-1	-1	-1	-1	0.0
292	-1	-1	-1	-1	0.0
293	-1	-1	-1	-1	0.0
294	-1	-1	-1	-1	0.0
295	-1	-1	-1	-1	0.0
296	-1	-1	-1	-1	0.0
297	-1	-1	-1	-1	0.0
298	-1	-1	-1	-1	0.0
299	-1	-1	-1	-1	0.0
300	-1	-1	-1	-1	0.0
301	-1	-1	-1	-1	0.0
302	-1	-1	-1	-1	0.0
303	-1	-1	-1	-1	0.0
304	-1	-1	-1	-1	0.0
305	-1	-1	-1	-1	0.0
306	-1	-1	-1	-1	0.0
307	-1	-1	-1	-1	0.0
308	-1	-1	-1	-1	0.0
309	-1	-1	-1	-1	0.0
310	-1	-1	-1	-1	0.0
311	-1	-1	-1	-1	0.0
312	-1	-1	-1	-1	0.0
313	-1	-1	-1	-1	0.0
314	-1	-1	-1	-1	0.0
315	-1	-1	-1	-1	0.0
316	-1	-1	-1	-1	0.0
317	-1	-1	-1	-1	0.0
318	-1	-1	-1	-1	0.0
319	-1	-1	-1	-1	0.0
320	-1	-1	-1	-1	0.0
321	-1	-1	-1	-1	0.0
322	-1	-1	-1	-1	0.0
323	-1	-1	-1	-1	0.0
324	-1	-1	-1	-1	0.0
325	-1	-1	-1	-1	0.0
326	-1	-1	-1	-1	0.0
327	-1	-1	-1	-1	0.0
328	-1	-1	-1	-1	0.0
329	-1	-1	-1	-1	0.0
330	-1	-1	-1	-1	0.0
331	-1	-1	-1	-1	0.0
332	-1	-1	-1	-1	0.0
333	-1	-1	-1	-1	0.0
334	-1	-1	-1	-1	0.0
335	-1	-1	-1	-1	0.0
336	-1	-1	-1	-1	0.0
337	-1	-1	-1	-1	0.0
338	-1	-1	-1	-1	0.0
339	-1	-1	-1	-1	0.0
340	-1	-1	-1	-1	0.0
341	-1	-1	-1	-1	0.0
342	-1	-1	-1	-1	0.0
343	-1	-1	-1	-1	0.0
344	-1	-1	-1	-1	0.0
345	-1	-1	-1	-1	0.0
346	-1	-1	-1	-1	0.0
347	-1	-1	-1	-1	0.0
348	-1	-1	-1	-1	0.0
349	-1	-1	-1	-1	0.0
350	-1	-1	-1	-1	0.0
351	-1	-1	-1	-1	0.0
352	-1	-1	-1	-1	0.0
353	-1	-1	-1	-1	0.0
354	-1	-1	-1	-1	0.0
355	-1	-1	-1	-1	0.0
356	-1	-1	-1	-1	0.0
357	-1	-1	-1	-1	0.0
358	-1	-1	-1	-1	0.0
359	-1	-1	-1	-1	0.0
360	-1	-1	-1	-1	0.0
361	-1	-1	-1	-1	0.0
362	-1	-1	-1	-1	0.0
363	-1	-1	-1	-1	0.0
364	-1	-1	-1	-1	0.0
365	-1	-1	-1	-1	0.0
366	-1	-1	-1	-1	0.0
367	-1	-1	-1	-1	0.0
368	-1	-1	-1	-1	0.0
369	-1	-1	-1	-1	0.0
370	-1	-1	-1	-1	0.0
371	-1	-1	-1	-1	0.0
372	-1	-1	-1	-1	0.0
373	-1	-1	-1	-1	0.0
374	-1	-1	-1	-1	0.0
375	-1	-1	-1	-1	0.0
376	-1	-1	-1	-1	0.0
377	-1	-1	-1	-1	0.0
378	-1	-1	-1	-1	0.0
379	-1	-1	-1	-1	0.0
380	-1	-1	-1	-1	0.0
381	-1	-1	-1	-1	0.0
382	-1	-1	-1	-1	0.0
383	-1	-1	-1	-1	0.0
384	-1	-1	-1	-1	0.0
385	-1	-1	-1	-1	0.0
386	-1	-1	-1	-1	0.0
387	-1	-1	-1	-1	0.0
388	-1	-1	-1	-1	0.0
389	-1	-1	-1	-1	0.0
390	-1	-1	-1	-1	0.0
391	-1	-1	-1	-1	0.0
392	-1	-1	-1	-1	0.0
393	-1	-1	-1	-1	0.0
394	-1	-1	-1	-1	0.0
395	-1	-1	-1	-1	0.0
396	-1	-1	-1	-1	0.0
397	-1	-1	-1	-1	0.0
398	-1	-1	-1	-1	0.0
399	-1	-1	-1	-1	0.0
400	-1	-1	-1	-1	0.0
401	-1	-1	-1	-1	0.0
402	-1	-1	-1	-1	0.0
403	-1	-1	-1	-1	0.0
404	-1	-1	-1	-1	0.0
405	-1	-1	-1	-1	0.0
406	-1	-1	-1	-1	0.0
407	-1	-1	-1	-1	0.0
408	117614	117644	9155	9158	0.2727272727272727
409	-1	-1	-1	-1	0.0
410	-1	-1	-1	-1	0.0
411	-1	-1	-1	-1	0.0
412	-1	-1	-1	-1	0.0
413	-1	-1	-1	-1	0.0
414	-1	-1	-1	-1	0.0
415	-1	-1	-1	-1	0.0
416	-1	-1	-1	-1	0.0
417	-1	-1	-1	-1	0.0
418	-1	-1	-1	-1	0.0
419	-1	-1	-1	-1	0.0
420	-1	-1	-1	-1	0.0
421	-1	-1	-1	-1	0.0
422	-1	-1	-1	-1	0.0
423	-1	-1	-1	-1	0.0
424	-1	-1	-1	-1	0.0
425	-1	-1	-1	-1	0.0
426	-1	-1	-1	-1	0.0
427	-1	-1	-1	-1	0.0
428	-1	-1	-1	-1	0.0
429	-1	-1	-1	-1	0.0
430	-1	-1	-1	-1	0.0
431	-1	-1	-1	-1	0.0
432	-1	-1	-1	-1	0.0
433	-1	-1	-1	-1	0.0
434	-1	-1	-1	-1	0.0
435	-1	-1	-1	-1	0.0
436	-1	-1	-1	-1	0.0
437	-1	-1	-1	-1	0.0
438	-1	-1	-1	-1	0.0
439	-1	-1	-1	-1	0.0
440	-1	-1	-1	-1	0.0
441	-1	-1	-1	-1	0.0
442	-1	-1	-1	-1	0.0
443	-1	-1	-1	-1	0.0
444	-1	-1	-1	-1	0.0
445	-1	-1	-1	-1	0.0
446	-1	-1	-1	-1	0.0
447	-1	-1	-1	-1	0.0
448	-1	-1	-1	-1	0.0
449	-1	-1	-1	-1	0.0
450	-1	-1	-1	-1	0.0
451	-1	-1	-1	-1	0.0
452	-1	-1	-1	-1	0.0
453	-1	-1	-1	-1	0.0
454	-1	-1	-1	-1	0.0
455	-1	-1	-1	-1	0.0
456	119907	119937	9334	9338	0.24362606232294617
457	-1	-1	-1	-1	0.0
458	-1	-1	-1	-1	0.0
459	-1	-1	-1	-1	0.0
460	-1	-1	-1	-1	0.0
461	-1	-1	-1	-1	0.0
462	-1	-1	-1	-1	0.0
463	-1	-1	-1	-1	0.0
464	-1	-1	-1	-1	0.0
465	-1	-1	-1	-1	0.0
466	-1	-1	-1	-1	0.0
467	-1	-1	-1	-1	0.0
468	-1	-1	-1	-1	0.0
469	-1	-1	-1	-1	0.0
470	-1	-1	-1	-1	0.0
471	-1	-1	-1	-1	0.0
472	-1	-1	-1	-1	0.0
473	-1	-1	-1	-1	0.0
474	-1	-1	-1	-1	0.0
475	-1	-1	-1	-1	0.0
476	-1	-1	-1	-1	0.0
477	-1	-1	-1	-1	0.0
478	-1	-1	-1	-1	0.0
479	-1	-1	-1	-1	0.0
480	-1	-1	-1	-1	0.0
481	-1	-1	-1	-1	0.0
482	-1	-1	-1	-1	0.0
483	-1	-1	-1	-1	0.0
484	-1	-1	-1	-1	0.0
485	-1	-1	-1	-1	0.0
486	-1	-1	-1	-1	0.0
487	-1	-1	-1	-1	0.0
488	-1	-1	-1	-1	0.0
489	-1	-1	-1	-1	0.0
490	-1	-1	-1	-1	0.0
491	-1	-1	-1	-1	0.0
492	-1	-1	-1	-1	0.0
493	-1	-1	-1	-1	0.0
494	127489	127579	9917	9921	0.01932367149758454
495	-1	-1	-1	-1	0.0
496	-1	-1	-1	-1	0.0
497	-1	-1	-1	-1	0.0
498	-1	-1	-1	-1	0.0
499	-1	-1	-1	-1	0.0
500	-1	-1	-1	-1	0.0
501	-1	-1	-1	-1	0.0
502	-1	-1	-1	-1	0.0
503	-1	-1	-1	-1	0.0
504	-1	-1	-1	-1	0.0
505	-1	-1	-1	-1	0.0
506	-1	-1	-1	-1	0.0
507	-1	-1	-1	-1	0.0
508	-1	-1	-1	-1	0.0
509	-1	-1	-1	-1	0.0
510	-1	-1	-1	-1	0.0
511	-1	-1	-1	-1	0.0
512	-1	-1	-1	-1	0.0
513	-1	-1	-1	-1	0.0
514	-1	-1	-1	-1	0.0
515	-1	-1	-1	-1	0.0
516	-1	-1	-1	-1	0.0
517	127550	127580	9921	9921	0.3805970149253731
518	-1	-1	-1	-1	0.0
519	-1	-1	-1	-1	0.0
520	-1	-1	-1	-1	0.0
521	-1	-1	-1	-1	0.0
522	-1	-1	-1	-1	0.0
523	-1	-1	-1	-1	0.0
524	-1	-1	-1	-1	0.0
525	-1	-1	-1	-1	0.0
526	-1	-1	-1	-1	0.0
527	-1	-1	-1	-1	0.0
528	-1	-1	-1	-1	0.0
529	-1	-1	-1	-1	0.0
530	-1	-1	-1	-1	0.0
531	-1	-1	-1	-1	0.0
532	-1	-1	-1	-1	0.0
533	-1	-1	-1	-1	0.0
534	-1	-1	-1	-1	0.0
535	-1	-1	-1	-1	0.0
536	-1	-1	-1	-1	0.0
537	-1	-1	-1	-1	0.0
538	-1	-1	-1	-1	0.0
539	-1	-1	-1	-1	0.0
540	-1	-1	-1	-1	0.0
541	-1	-1	-1	-1	0.0
542	-1	-1	-1	-1	0.0
543	-1	-1	-1	-1	0.0
544	-1	-1	-1	-1	0.0
545	-1	-1	-1	-1	0.0
546	-1	-1	-1	-1	0.0
547	-1	-1	-1	-1	0.0
